Time,US PPI YoY,US PPI YoY F,US PPI YoY P,US PPI MoM,US PPI MoM F,US PPI MoM P,US PPI Core YoY,US PPI Core F YoY,US PPI Core P YoY,US PPI Core MoM,US PPI Core MoM F,US PPI Core MoM P,UK PPI YoY,UK PPI YoY F,UK PPI P,Column 1,2,3,EU PPI YoY,EU PPI YoY F,EU PPI YoY P,EU PPI MoM,EU PPI MoM F,EU PPI MoM P,GER PPI YoY,GER PPI YoY F,GER PPI YoY P,GER PPI MoM,GER PPI MoM F,GER PPI MoM P,FRANCE PPI YoY,FRANCE PPI YoY F,FRANCE PPI YoY P,FRANCE PPI MoM,FRANCE PPI MoM F,FRANCE PPI MoM P,ITALY PPI YoY,ITALY PPI YoY F,ITALY PPI YoY P,ITALY PPI MoM,ITALY PPI MoM F,ITALY PPI MoM P,AU PPI YoY,AU PPI YoY F,AU PPI YoY P,CANADA PPI YoY,CANADA PPI YoY F,CANADA PPI YoY P,CANADA PPI MoM,CANADA PPI MoM F,CANADA PPI MoM P,MEXICO PPI YoY,MEXICO PPI YoY F,MEXICO PPI YoY P,BRAZIL PPI MoM,BRAZIL PPI MoM F,BRAZIL PPI MoM P,China PPI YoY,China PPI YoY F,China PPI YoY P,JAPAN PPI YoY,JAPAN PPI YoY F,JAPAN PPI YoY P,JAPAN PPI MoM,JAPAN PPI MoM F,JAPAN PPI MoM P,KOREA PPI YoY,KOREA PPI YoY F,KOREA PPI YoY P,KOREA PPI MoM,KOREA PPI MoM F,KOREA PPI MoM P
12/2014,1.1%,1.0%,1.1%,-0.3%,-0.4%,-0.30%,2.10%,1.90%,2.10%,0.30%,0.10%,0.30%,1.1%,1.00%,1.10%,-1.00%,-0.70%,-0.30%,-2.70%,-2.50%,-3.50%,-1.00%,-0.70%,-1.00%,-1.7%,-1.40%,-1.70%,-0.7%,-0.40%,-0.70%,,,,-0.9%,,-0.90%,-1.8%,,-1.80%,-0.7%,,-0.70%,1.10%,,1.10%,-0.50%,1.00%,-0.40%,-1.60%,-0.50%,-1.5%,,,,,,,-3.30%,-3.10%,-3.30%,1.90%,2.10%,1.80%,-0.40%,-0.30%,-0.50%,-2.0%,,-2.10%,-0.9%,,-1.00%
1/2015,0.0%,0.3%,0.0%,-0.8%,-0.4%,-0.80%,1.60%,2.00%,1.60%,-0.10%,0.10%,-0.10%,0.0%,0.30%,0.00%,-0.90%,-0.70%,-1.00%,-3.40%,-3.00%,-2.80%,-0.90%,-0.70%,-1.10%,-2.2%,-2.00%,-2.20%,-0.6%,-0.40%,-0.60%,,,,-0.9%,,-0.90%,-2.9%,,-3.10%,-1.1%,,-1.30%,0.70%,,0.70%,-2.20%,,-2.10%,-0.40%,-2.20%,-0.3%,,,,,,,-4.30%,-3.80%,-4.30%,0.30%,1.10%,0.30%,-1.30%,-0.60%,-1.30%,-3.6%,,-3.60%,-1.2%,,-1.20%
2/2015,-0.6%,0.0%,-0.6%,-0.5%,0.3%,-0.50%,1.00%,1.60%,1.00%,-0.50%,0.10%,-0.50%,-0.6%,0.00%,-0.60%,0.50%,0.10%,-1.10%,-2.80%,-3.00%,-2.30%,0.50%,0.10%,0.60%,-2.1%,-1.90%,-2.10%,0.1%,0.20%,0.10%,,,,0.7%,,0.80%,-2.6%,,-2.50%,0.5%,,0.60%,0.70%,,0.70%,-1.60%,,-1.50%,1.80%,0.60%,1.8%,,,,,,,-4.80%,-4.30%,-4.80%,0.50%,0.50%,0.40%,0.00%,,-0.10%,-3.6%,-1.50%,-3.60%,0.1%,,0.10%
3/2015,-0.8%,-0.8%,-0.8%,0.2%,0.2%,0.20%,0.90%,0.90%,0.90%,0.20%,0.10%,0.20%,-0.8%,-0.80%,-0.80%,0.20%,0.30%,0.60%,-2.30%,-2.30%,-2.20%,0.20%,0.30%,0.20%,-1.7%,-1.60%,-1.70%,0.1%,0.20%,0.10%,,,,0.1%,,0.10%,-2.4%,,-2.40%,0.0%,,0.00%,0.70%,,0.70%,-1.80%,,-1.80%,0.30%,-0.10%,0.2%,,,,,,,-4.60%,-4.80%,-4.60%,0.70%,0.40%,0.70%,0.30%,-0.10%,0.30%,-3.7%,-1.40%,-3.70%,-0.1%,,-0.10%
4/2015,-1.3%,-0.8%,-1.3%,-0.4%,0.2%,-0.40%,0.80%,1.10%,0.80%,-0.20%,0.10%,-0.20%,-1.3%,-0.80%,-1.30%,-0.10%,0.10%,0.20%,-2.20%,-2.00%,-2.00%,-0.10%,0.10%,-0.10%,-1.5%,-1.40%,-1.50%,0.1%,0.20%,0.10%,,,,-0.4%,0.20%,-0.40%,-2.3%,,-2.20%,-0.1%,0.10%,-0.10%,1.10%,,1.10%,-2.40%,,-2.40%,-0.90%,-0.10%,-0.9%,,,,,,,-4.60%,-4.40%,-4.60%,-2.10%,-2.10%,-2.10%,0.10%,0.10%,0.10%,-3.6%,,-3.60%,0.0%,,0.00%
5/2015,-1.1%,-1.1%,-1.1%,0.5%,0.4%,0.50%,0.60%,0.70%,0.60%,0.10%,0.10%,0.10%,-1.1%,-1.10%,-1.10%,0.00%,0.10%,-0.10%,-2.00%,-2.00%,-2.10%,0.00%,0.10%,0.00%,-1.3%,-1.10%,-1.30%,0.0%,0.20%,0.00%,,,,-0.5%,,-0.50%,-1.9%,,-1.90%,0.2%,,0.20%,1.10%,,1.10%,-1.30%,,-1.30%,0.50%,0.50%,0.5%,,,,,,,-4.60%,-4.50%,-4.60%,-2.10%,-2.20%,-2.10%,0.30%,0.20%,0.30%,-3.5%,,-3.50%,0.1%,,0.10%
6/2015,-0.7%,-0.9%,-0.7%,0.4%,0.2%,0.40%,0.80%,0.70%,0.80%,0.30%,0.10%,0.30%,-0.7%,-0.90%,-0.70%,-0.10%,-0.10%,0.00%,-2.20%,-2.20%,-2.10%,-0.10%,-0.10%,-0.10%,-1.4%,-1.30%,-1.40%,-0.1%,0.10%,-0.10%,,,,-0.2%,,-0.20%,-2.3%,,,-0.2%,,,1.10%,,1.10%,-0.90%,-1.20%,-0.90%,0.50%,0.40%,0.5%,,,,,,,-4.80%,-4.50%,-4.80%,-2.40%,-2.30%,-2.40%,-0.20%,0.10%,-0.20%,-3.6%,,-3.60%,0.0%,,0.00%
7/2015,-0.8%,-0.9%,-0.8%,0.2%,0.1%,0.20%,0.60%,0.50%,0.60%,0.30%,0.10%,0.30%,-0.8%,-0.90%,-0.80%,-0.10%,-0.10%,-0.10%,-2.10%,-2.10%,-2.60%,-0.10%,-0.10%,-0.10%,-1.3%,-1.40%,-1.30%,0.0%,-0.10%,0.00%,,,,-0.1%,,-0.10%,,,-2.30%,,,-0.50%,1.70%,,1.70%,0.10%,,0.10%,0.70%,0.10%,0.7%,,,,,,,-5.40%,-5.00%,-5.40%,-3.00%,-2.90%,-3.00%,-0.20%,-0.10%,-0.20%,-4.0%,,-4.00%,-0.3%,,-0.40%
8/2015,-0.8%,-0.9%,-0.8%,0.0%,-0.1%,0.00%,0.90%,0.70%,0.90%,0.30%,0.10%,0.30%,-0.8%,-0.90%,-0.80%,-0.80%,-0.60%,-0.10%,-2.60%,-2.40%,-3.20%,-0.80%,-0.60%,-0.80%,-1.7%,-1.50%,-1.70%,-0.5%,-0.30%,-0.50%,,,,-0.9%,,-0.90%,-2.9%,,-2.80%,-0.7%,,-0.60%,1.70%,,1.70%,-0.40%,,-0.40%,-0.30%,-0.20%,-0.3%,,,,,,,-5.90%,-5.50%,-5.90%,-3.60%,-3.30%,-3.60%,-0.60%,-0.40%,-0.60%,-4.4%,,-4.50%,-0.5%,,-0.60%
9/2015,-1.1%,-0.7%,-1.1%,-0.5%,-0.2%,-0.50%,0.80%,1.20%,0.80%,-0.30%,0.10%,-0.30%,-1.1%,-0.70%,-1.10%,-0.30%,-0.40%,-0.80%,-3.10%,-3.30%,-3.20%,-0.30%,-0.40%,-0.40%,-2.1%,-1.80%,-2.10%,-0.4%,-0.10%,-0.40%,,,,0.1%,,0.10%,-3.0%,,-3.90%,-0.2%,,-0.30%,1.70%,,1.70%,-0.40%,,-0.40%,-0.30%,-0.10%,-0.4%,,,,,,,-5.90%,-5.90%,-5.90%,-3.90%,-3.90%,-3.90%,-0.50%,-0.30%,-0.50%,-4.5%,,-4.60%,-0.3%,,-0.40%
